name,smol,best_recs,upcom
Airport Auto Center,1,"['Stickers', 'Speedy Lube N Tune', 'Roger Beasley Saab', 'Charles Maund Volkswagen']","['Stickers', 'Speedy Lube N Tune', 'Moorespeed', 'ACL Motors']"
LK Jordan,0,"['AppleOne Employment Services', 'The HT Group', 'Evins Personnel Consultants', 'Molly Maid of Greater Austin']","['Melody Li Counseling & Couples Therapy, LMFT', 'Hire Priority Apartment Staffing', 'Executive Drafts - Resume Services', 'Expressions In Film & Video', 'Law Office of Anderson M. Simmons, P.C.']"
BB Rover's Cafe & Pub,0,"[""Josey's Bar and Grill"", ""Applebee's Grill + Bar"", 'Spinners', ""Billy's on Burnet""]","['Toss Pizzeria and Pub', 'Growler USA - Austin', 'Fourth & CO', ""Frazier's Long and Low"", 'Longhorn Daiquiris']"
Millennium Hardwood Flooring,1,"['Chase Floors 2U', 'Austin Fine Floors', 'Lone Star Carpets', 'Flooring Warehouse']","['Flooring Warehouse', 'Lone Star Carpets', 'Austin Fine Floors', 'Texas Flooring Professionals']"
Los Catrachos,0,"['Las Palomas Restaurant & Bar', 'The Park At The Domain', 'Mi Bambuco Colombian Restaurant', 'Lavaca Street Bar At Rock Rose']","['Mi Bambuco Colombian Restaurant', ""Vincent's Sports Pub"", 'Rules & Regs', 'Watertrade', 'King Bee Lounge']"
Abel's On the Lake,0,"['Green Pastures Events', 'Casino El Camino', 'Clay Pit', 'Hyde Park Bar & Grill WestGate']","['Oakmont Food', 'Idle Hands', 'El Naranjo South Lamar', 'Paradise On Ice', 'Soco Bar & Bites']"
Fully Promoted of Austin,1,"['A-List Embroidery', ""Anne's Embroidery"", 'Action Screen Graphics', 'Hill Country Embroidery']","['A-List Embroidery', 'Action Screen Graphics', ""Anne's Embroidery"", 'Hill Country Embroidery']"
Ben White Mini Storage,1,"['CubeSmart Self Storage', 'CubeSmart Self Storage', 'Public Storage', 'Extra Space Storage', 'Public Storage']","['Mopac Self Storage', 'Extra Space Storage', 'CubeSmart Self Storage', 'Public Storage', 'Public Storage']"
Subway,1,"['Subway', 'Subway', 'Subway', 'Subway']","['Subway', ""Jersey Mike's Subs"", 'The Meltery', ""Cooper's Sandwiches""]"
U-Haul Moving & Storage - Austin,0,"['U-Haul Moving & Storage at Burnet Rd & Fm 2222', 'U-Haul at N Lamar', 'U-Haul Moving & Storage of Rundberg', 'U-Haul Moving & Storage at Ben White']","['Life Storage', 'Greater Austin Moving', 'Crates On Skates', 'RightSpace Storage', 'Stor Self Storage']"
Airrosti,1,"['Airrosti', 'Airrosti', 'Airrosti', 'Airrosti']","['Airrosti', 'Airrosti', 'Airrosti', 'Airrosti']"
Congress Avenue Kayaks,0,"['Zilker Park Boat Rentals', 'Texas Rowing Center', 'Live Love Paddle', 'Austin Paddle Shack']","['Austin Paddle Shack', 'Rock-About Climbing Adventures', 'Austin Pedal Kayaks', 'BedPost Confessions', 'Austin Country Club']"
Starbucks,0,"['Caffé Medici', 'Starbucks', 'Starbucks', 'Starbucks']","['Merit Coffee', 'Houndstooth', 'Austin Roasting Company', 'Caffé Medici']"
